Date,River Discharge (cfs) - Average,American Shad
5/6/2019,37582,0
5/7/2019,33875,"1,479"
5/8/2019,30848,"1,727"
5/9/2019,29419,"3,652"
5/10/2019,26554,"3,421"
5/11/2019,28226,"2,307"
5/12/2019,33155,"2,791"
5/13/2019,37786,0
5/14/2019,35567,"1,450"
5/15/2019,35575,"1,265"
5/16/2019,35482,"1,895"
5/17/2019,27726,"4,524"
5/18/2019,25797,"5,103"
5/19/2019,24228,"7,415"
5/20/2019,23060,"30,514"
5/21/2019,32724,"10,348"
5/22/2019,38452,0
5/23/2019,34850,"5,845"
5/24/2019,28378,0
5/25/2019,24544,"34,132"
5/26/2019,23149,"14,007"
5/27/2019,21571,"27,230"
5/28/2019,22864,"14,874"
5/29/2019,25297,"9,285"
5/30/2019,26322,"7,386"
5/31/2019,25592,"7,845"
6/1/2019,22093,"48,870"
6/2/2019,19063,"25,772"
6/3/2019,17668,"11,027"
6/4/2019,16819,"5,467"
6/5/2019,15336,"3,856"
6/6/2019,15258,"2,568"
6/7/2019,26352,"2,767"
6/8/2019,29004,"2,853"
6/9/2019,22342,"1,774"
6/10/2019,16189,"2,102"
6/11/2019,15178,"1,263"
6/12/2019,14477,531
6/13/2019,19426,"1,167"
6/14/2019,17195,397
6/15/2019,14655,704
6/16/2019,13401,608
6/17/2019,15413,261
6/18/2019,16040,496
6/19/2019,13313,327
6/20/2019,11292,"1,001"
6/21/2019,12365,219
6/22/2019,23759,414
6/23/2019,22838,311
6/24/2019,20117,112
6/25/2019,15455,0
6/26/2019,11853,0
6/27/2019,14258,244
6/28/2019,17505,111
6/29/2019,15170,152
6/30/2019,11838,89
7/1/2019,10971,82
7/2/2019,14620,56
7/3/2019,12657,48
7/4/2019,10198,18
7/5/2019,8532,31
7/6/2019,10105,0
7/7/2019,9090,0
7/8/2019,7931,46
7/9/2019,7399,9
7/10/2019,8086,17
7/11/2019,6855,70
7/12/2019,6273,18
7/13/2019,9605,0
7/14/2019,8784,0
7/15/2019,8627,8
