date,average discharge (cfs),american shad passed,shutdown status
2019-05-06,37582,0,0
2019-05-07,33875,1479,0
2019-05-08,30848,1727,0
2019-05-09,29419,3652,0
2019-05-10,26554,3421,0
2019-05-11,28226,2307,0
2019-05-12,33155,2791,0
2019-05-13,37786,0,1
2019-05-14,35567,1450,0
2019-05-15,35575,1265,0
2019-05-16,35482,1895,0
2019-05-17,27726,4524,0
2019-05-18,25797,5103,0
2019-05-19,24228,7415,0
2019-05-20,23060,30514,0
2019-05-21,32724,10348,0
2019-05-22,38452,0,1
2019-05-23,34850,5845,0
2019-05-24,28378,0,1
2019-05-25,24544,34132,0
2019-05-26,23149,14007,0
2019-05-27,21571,27230,0
2019-05-28,22864,14874,0
2019-05-29,25297,9285,0
2019-05-30,26322,7386,0
2019-05-31,25592,7845,0
2019-06-01,22093,48870,0
2019-06-02,19063,25772,0
2019-06-03,17668,11027,0
2019-06-04,16819,5467,0
2019-06-05,15336,3856,0
2019-06-06,15258,2568,0
2019-06-07,26352,2767,0
2019-06-08,29004,2853,0
2019-06-09,22342,1774,0
2019-06-10,16189,2102,0
2019-06-11,15178,1263,0
2019-06-12,14477,531,0
2019-06-13,19426,1167,0
2019-06-14,17195,397,0
2019-06-15,14655,704,0
2019-06-16,13401,608,0
2019-06-17,15413,261,0
2019-06-18,16040,496,0
2019-06-19,13313,327,0
2019-06-20,11292,1001,0
2019-06-21,12365,219,0
2019-06-22,23759,414,0
2019-06-23,22838,311,0
2019-06-24,20117,112,0
2019-06-25,15455,0,1
2019-06-26,11853,0,1
2019-06-27,14258,244,0
2019-06-28,17505,111,0
2019-06-29,15170,152,0
2019-06-30,11838,89,0
2019-07-01,10971,82,0
2019-07-02,14620,56,0
2019-07-03,12657,48,0
2019-07-04,10198,18,0
2019-07-05,8532,31,0
2019-07-06,10105,0,1
2019-07-07,9090,0,1
2019-07-08,7931,46,0
2019-07-09,7399,9,0
2019-07-10,8086,17,0
2019-07-11,6855,70,0
2019-07-12,6273,18,0
2019-07-13,9605,0,1
2019-07-14,8784,0,1
2019-07-15,8627,8,0
