Year,Prop_shut,Percent_shut,Am_shad_passed,log1Am_shad,Riv_herring_passed,logRiv_herring_passed,Atlantic_salmon_passed,logAtlantic_salmon_passed
2020,0.152173913,15.2173913,180,2.257678575,143259,5.156121915,51,1.707570176
2019,0.135869565,13.58695652,44,1.653212514,240594,5.381284793,56,1.748188027
2018,0.179347826,17.93478261,437,2.641474111,307035,5.487187885,11,1.041392685
2017,0.059782609,5.97826087,213,2.330413773,289188,5.461180268,39,1.591064607
2016,0.10326087,10.32608696,836,2.922725458,224990,5.352163216,37,1.568201724
2015,0.108695652,10.86956522,26,1.431363764,91850,4.963079161,31,1.491361694
2014,0.060606061,6.060606061,1,0.301029996,115667,5.063209472,18,1.255272505
2013,0.109195402,10.91954023,0,0,103242,5.013856409,7,0.84509804
2012,0.195530726,19.55307263,5,0.77815125,179358,5.253720753,5,0.698970004
2011,0.202312139,20.23121387,17,1.255272505,37847,4.57803146,60,1.77815125
2010,0.241758242,24.17582418,39,1.602059991,76745,4.88505009,5,0.698970004
2009,0.206521739,20.65217391,0,0,45969,4.662465056,32,1.505149978
2008,0.206521739,20.65217391,0,0,131201,5.117937145,22,1.342422681
2007,0.309782609,30.97826087,18,1.278753601,3448,3.537567257,16,1.204119983
