Year,Prop_shut,Percent_shut,Days operating,Am_shad_passed,log_Am_shad_passed,Hickory_shad_passed,log1_Hickory_shad_passed,Alewife_passed,log1_Alewife_passed,BB_herring_passed,log1_BB_herring_passed,total_fish_passed,log_total_fish_passed
2019,0.35483871,35.48387097,20,390,2.591064607,1,0.301029996,0,0,13,1.146128036,404,2.606381365
2018,0.571428571,57.14285714,15,465,2.667452953,3,0.602059991,6,0.84509804,21,1.342422681,495,2.694605199
2017,0.580645161,58.06451613,13,736,2.866877814,0,0,5,0.77815125,0,0,741,2.869818208
2016,0.52173913,52.17391304,11,861,2.935003151,0,0,20,1.322219295,14,1.176091259,895,2.951823035
2015,0.344827586,34.48275862,19,875,2.942008053,0,0,29,1.477121255,17,1.255272505,921,2.96425963
2012,0.075,7.5,0,1486,3.172018809,0,0,0,0,7,0.903089987,1493,3.174059808
2011,0.375,37.5,0,3074,3.487703863,0,0,0,0,0,0,3074,3.487703863
2009,0.125,12.5,37,6534,3.81517913,4,0.698970004,20,1.322219295,165,2.220108088,6723,3.827563111
2008,0.15,15,15,2627,3.419460073,0,0,2,0.477121255,7,0.903089987,2636,3.420945406
2007,0.09375,9.375,0,4272,3.630631244,0,0,7,0.903089987,153,2.187520721,4432,3.646599752
2006,0.177777778,17.77777778,28,3970,3.598790507,0,0,2,0.477121255,6,0.84509804,3978,3.599664779
2005,0.285714286,28.57142857,34,3896,3.590618948,0,0,0,0,0,0,3896,3.590618948
2004,0.125,12.5,29,3426,3.534787359,0,0,0,0,1,0.301029996,3427,3.534914104
2003,0.162162162,16.21621622,37,9802,3.991314698,1,0.301029996,16,1.230448921,183,2.264817823,10002,4.00008685
2002,0.340425532,34.04255319,30,9347,3.970672243,0,0,141,2.152288344,428,2.632457292,9916,3.996336518
2001,0.023809524,2.380952381,14,10940,4.039017322,36,1.568201724,7824,3.893484346,16320,4.212746765,35120,4.545554507
2000,0.105263158,10.52631579,31,9785,3.99056083,1,0.301029996,9189,3.963315511,14326,4.156155261,33301,4.522457275
1999,0,0,31,9658,3.984887201,32,1.51851394,1795,3.254306332,8546,3.931813704,20031,4.301702631
1998,0.170731707,17.07317073,41,6577,3.818027842,6,0.84509804,31,1.505149978,5511,3.741309209,12125,4.083681747
1997,0,0,34,12974,4.113073894,118,2.075546961,11,1.079181246,133257,5.124693291,146360,5.165422401
1996,0.222222222,22.22222222,43,11473,4.059676994,0,0,1,0.301029996,871,2.940516485,12345,4.091491094
1995,0.028571429,2.857142857,34,15588,4.192790397,36,1.568201724,5405,3.732876041,93859,4.97248055,114888,5.060274669
1994,0,0,44,5615,3.749349761,1,0.301029996,70,1.851258349,2603,3.41564098,8289,3.91850214
1993,0,0,28,5343,3.727785174,0,0,572,2.758154622,4052,3.607776604,9967,3.998564458
1992,0.111111111,11.11111111,68,10335,4.014310481,376,2.57634135,3344,3.524396122,27533,4.439869308,41588,4.618968035
1991,0.073529412,7.352941176,47,13330,4.124830149,120,2.08278537,2649,3.423245874,15616,4.19359761,31715,4.501264716
1990,0.132530121,13.25301205,45,15964,4.203141719,77,1.892094603,425,2.629409599,9658,3.984932166,26124,4.417039675
1989,0.293333333,29.33333333,64,8311,3.919653282,28,1.462397998,1902,3.279438788,3611,3.557747742,13852,4.141512483
1988,0.240506329,24.05063291,63,5169,3.713406532,64,1.812913357,712,2.85308953,14570,4.163489358,20515,4.312071521
1987,0.178082192,17.80821918,72,7667,3.884625463,35,1.556302501,357,2.553883027,5861,3.768045814,13920,4.143639235
1986,0.191780822,19.17808219,53,5195,3.715585552,45,1.662757832,2822,3.450710878,6327,3.80126647,14389,4.158030613
1985,0.266666667,26.66666667,60,1546,3.18920949,9,1,377,2.5774918,6763,3.830203599,8695,3.939269586
