year,season_length,days_operating,diadromous_fish_passed,log_diadromous_fish_passed,mean_flow,log_mean_flow
2020,4,4,486,2.686636269,45050,4.653694795
2019,46,46,4802,3.681422156,79170.97,4.898565966
2018,48,48,7052,3.848312304,67542.85714,4.829579428
2017,46,46,16330,4.212986185,68519.35,4.835813234
2016,55,55,14310,4.155639634,34569.57,4.538693978
2015,46,46,8362,3.922310163,27820.69,4.444367897
2014,54,54,10563,4.02378728,72286.15385,4.859055118
2013,60,60,12741,4.105203516,40203.125,4.604259812
2012,62,62,22195,4.346255149,48022.5,4.681444765
2011,15,15,20610,4.314077992,87112.5,4.940080478
2010,59,59,37762,4.577054988,33119.04762,4.52007784
2009,57,57,29503,4.469866179,37234.38,4.570944127
2008,51,50,19919,4.299267532,48250,4.683497318
2007,39,39,26353,4.420830062,33050,4.519171464
2006,61,62,56903,4.755135164,30631.11,4.486162735
2005,52,52,68930,4.838408278,21623.81,4.334932217
2004,44,44,109550,5.039612382,55262.5,4.742430528
2003,44,44,125686,5.099286905,42486.49,4.628250854
2002,49,49,110118,5.041858315,64389.36,4.808814108
2001,43,43,485953,5.686594268,20900,4.320146286
2000,45,45,168511,5.226628256,53265.79,4.726448373
1999,52,52,200351,5.301791514,24650.23,4.391820976
1998,50,50,40610,4.608632989,63114.63,4.800130041
1997,64,64,333849,5.52355008,30722.73,4.487459804
1996,49,49,26304,4.420021796,54922.22,4.739748083
1995,68,68,50237,4.701023697,26638.57,4.425510908
1994,55,55,26969,4.430864843,30870.21,4.489539584
1993,42,42,12777,4.106428895,28466.67,4.454336667
1992,62,70,26304,4.420021796,43966.67,4.643123574
1991,60,67,27369,4.43725893,37407.5,4.572958685
