year,season_length_modified,days_operating_modified,diadromous_fish_passed,log_diadromous_fish_passed,mean_flow,log_mean_flow
2021,85,72,259096,5.413460708,13872.82353,13872.82353
2020,71,65,363025,5.559936534,15461.71,4.189257523
2019,71,62,319436,5.504383859,20036.06,4.301812324
2018,82,65,275133,5.439542684,15602.32,4.193189181
2017,82,68,537640,5.730491572,23911.22,4.378601735
2016,106,102,386164,5.586771784,11833.3,4.073105875
2015,56,54,412757,5.615694447,15325.18,4.185405584
2014,83,71,371183,5.569588078,21079.52,4.323860717
2013,108,80,394018,5.595516062,25777.87,4.411247029
2012,98,86,490504,5.690642553,14693.57,4.167127326
2011,96,63,244402,5.388104756,30092.4,4.478456826
2010,96,96,164556,5.216313722,12422.4,4.094205509
2009,102,96,160770,5.206205012,18267.94,4.261689577
2008,75,70,153317,5.185590313,15099.47,4.178961704
2007,102,84,158993,5.201378004,23960,4.379486814
