Year,Prop_shut,Percent_shut,atlantic_salmon_passed,log1_atlantic_salmon_passed,am_shad_passed,log_am_shad_passed,bb_herring_passed,log_bb_herring_passed,striped_bass_passed,log_striped_bass_passed,sturg_passed,log1_sturg_passed,gizzard_shad_passed,log_gizzard_shad_passed,sea_lamp_passed,log_sea_lamp_passed
2020,0.358490566,35.8490566,0,0,362244,5.559001201,763,2.882524538,423,2.626340367,18,1.278753601,64,1.806179974,33739,4.528132206
2019,0.296875,29.6875,3,0.602059991,314361,5.497428662,5052,3.703463342,207,2.315970345,20,1.322219295,320,2.505149978,18347,4.263565061
2018,0.366492147,36.64921466,2,0.477121255,273979,5.437717276,1061,3.025715384,262,2.418301291,91,1.963787827,69,1.838849091,10187,4.008046306
2017,0.368932039,36.89320388,10,1.041392685,536670,5.729707319,875,2.942008053,338,2.5289167,85,1.934498451,738,2.868056362,21526,4.332963336
2016,0.318777293,31.87772926,3,0.602059991,385930,5.586508539,137,2.136720567,638,2.804820679,94,1.977723605,598,2.776701184,35249,4.547146801
2015,0.035087719,3.50877193,13,1.146128036,412656,5.615588164,87,1.939519253,21,1.322219295,1,0.301029996,84,1.924279286,22245,4.34723241
2014,0.473170732,47.31707317,27,1.447158031,370506,5.568795245,647,2.810904281,69,1.838849091,3,0.602059991,410,2.612783857,22136,4.345099146
2013,0.480349345,48.0349345,69,1.84509804,392967,5.594356081,976,2.989449818,250,2.397940009,6,0.84509804,827,2.91750551,22092,4.344235035
2012,0.460526316,46.05263158,29,1.477121255,490431,5.690577914,39,1.591064607,336,2.526339277,5,0.77815125,337,2.527629901,14089,4.148880169
2011,0.561320755,56.13207547,72,1.86332286,244189,5.387726096,138,2.139879086,183,2.26245109,3,0.602059991,423,2.626340367,19136,4.281851162
2010,0.394495413,39.44954128,41,1.62324929,164439,5.216004827,76,1.880813592,298,2.474216264,0,0,371,2.56937391,39782,4.599686613
2009,0.375,37.5,61,1.792391689,160669,5.205932091,40,1.602059991,671,2.82672252,0,0,68,1.832508913,18996,4.278662161
2008,0.455445545,45.54455446,81,1.913813852,153149,5.185114165,84,1.924279286,617,2.790285164,3,0.602059991,127,2.103803721,57049,4.756248036
2007,0.453333333,45.33333333,106,2.029383778,158807,5.200869642,75,1.875061263,243,2.385606274,5,0.77815125,73,1.86332286,39933,4.601331938
2006,0.18627451,18.62745098,118,2.075546961,154772,5.189692395,21,1.322219295,144,2.158362492,1,0.301029996,127,2.103803721,17620,4.246005904
